label,discogs_label_id,start_year,end_year,cohort_year,acquirer,big_three,ever_treated
Asian Man Records,36851,2005,2025,,,,0
Ba Da Bing Records,6606,2005,2025,,,,0
Bar/None Records,2803,2005,2025,,,,0
Bayonet Records,815903,2015,2025,,,,0
Big Scary Monsters,43155,2005,2025,,,,0
Carpark Records,842,2005,2025,,,,0
Colemine Records,146761,2007,2025,,,,0
Constellation Records,5579,2005,2025,,,,0
Daptone Records,8564,2005,2025,,,,0
Domino Recording Company,26465,2005,2025,,,,0
Don Giovanni Records,123626,2005,2025,,,,0
Drag City,9269,2005,2025,,,,0
Epitaph,61599,2005,2025,,,,0
Erased Tapes,88949,2007,2025,,,,0
Exploding in Sound Records,420789,2008,2025,,,,0
Fat Possum Records,33995,2005,2025,,,,0
Fire Talk Records,206660,2009,2025,,,,0
Hyperdub,25386,2005,2025,,,,0
Innovative Leisure,168625,2010,2025,,,,0
International Anthem Recording Company,799458,2014,2025,,,,0
Ipecac Recordings,48048,2005,2025,,,,0
Kompakt,715,2005,2025,,,,0
Kranky,606,2005,2025,,,,0
Mello Music Group,123463,2005,2025,,,,0
Memphis Industries,4729,2005,2025,,,,0
No Quarter Records,44042,2005,2025,,,,0
Polyvinyl Record Co.,37250,2005,2025,,,,0
Profound Lore Records,43646,2005,2025,,,,0
Relapse Records,3949,2005,2025,,,,0
Rhymesayers Entertainment,8201,2005,2025,,,,0
Rostrum Records,227708,2005,2025,,,,0
Run For Cover Records,185615,2005,2025,,,,0
Sacred Bones Records,98317,2007,2025,,,,0
Saddle Creek,19372,2005,2025,,,,0
Sargent House,116554,2006,2025,,,,0
Stones Throw Records,1217,2005,2025,,,,0
Suicide Squeeze Records,75727,2005,2025,,,,0
Temporary Residence Ltd.,9952,2005,2025,,,,0
Thrill Jockey,500,2005,2025,,,,0
Topshelf Records,193702,2006,2025,,,,0
Parlophone,2294,2005,2025,2013,Warner Music Group,Warner,1
Big Machine Records,118707,2005,2025,2019,Ithaca Holdings,,1
Fearless Records,35521,2005,2025,2015,Concord Bicycle Music / Concord,,1
Vagrant Records,33933,2005,2025,2014,BMG / BMG Chrysalis US / BMG Rights Management,,1
